Energy	Sweep0	Sweep1	Sweep2	Sweep3	Sum
2255.00024414	1800.72375488	1785.68225098	1866.11816406	1823.53552246	7276.05969238	
2255.05029297	1841.92687988	1815.50476074	1755.51672363	1817.83654785	7230.78491211	
2255.1003418	1773.46704102	1750.31079102	1851.20056152	1799.81408691	7174.79248047	
2255.15039062	1817.04980469	1755.13989258	1724.61901855	1788.63745117	7085.44616699	
2255.20019531	1781.1463623	1815.16894531	1714.82470703	1841.76782227	7152.90783691	
2255.25024414	1783.5222168	1735.3034668	1822.20239258	1845.63183594	7186.65991211	
2255.30029297	1706.74865723	1774.80932617	1798.43896484	1865.6940918	7145.69104004	
2255.3503418	1804.96264648	1761.3659668	1776.56994629	1803.73339844	7146.63195801	
2255.40039062	1777.36791992	1693.07885742	1799.44885254	1708.48522949	6978.38085938	
2255.45019531	1809.92016602	1726.93249512	1790.6920166	1789.14135742	7116.68603516	
2255.50024414	1816.26013184	1824.43469238	1803.63476562	1780.56872559	7224.89831543	
2255.55029297	1784.87231445	1807.67858887	1762.75622559	1826.04492188	7181.35205078	
2255.6003418	1813.56555176	1827.29650879	1752.03601074	1834.81164551	7227.7097168	
2255.65039062	1798.6151123	1767.10119629	1794.02075195	1766.61755371	7126.35461426	
2255.70019531	1836.72045898	1723.77416992	1810.29528809	1900.91369629	7271.70361328	
2255.75024414	1770.04101562	1746.31140137	1775.31921387	1747.83215332	7039.50378418	
2255.80029297	1802.01611328	1789.4407959	1805.60681152	1778.96398926	7176.02770996	
2255.8503418	1798.33618164	1822.97570801	1817.24450684	1813.15258789	7251.70898438	
2255.90039062	1822.60229492	1782.140625	1751.28100586	1766.49987793	7122.52380371	
2255.95019531	1783.46154785	1753.8503418	1729.73828125	1759.69421387	7026.74438477	
2256.00024414	1702.86804199	1805.09606934	1717.51525879	1773.56726074	6999.04663086	
2256.05029297	1692.01550293	1830.91882324	1762.54138184	1780.99938965	7066.47509766	
2256.1003418	1726.65661621	1703.55639648	1665.19445801	1763.92480469	6859.33227539	
2256.15039062	1707.58007812	1727.28637695	1739.74353027	1756.5123291	6931.12231445	
2256.20019531	1752.60412598	1710.51477051	1751.00134277	1759.93823242	6974.05847168	
2256.25024414	1698.26525879	1731.9140625	1735.8770752	1760.99890137	6927.05529785	
2256.30029297	1763.18811035	1760.41650391	1683.18347168	1748.08288574	6954.87097168	
2256.3503418	1747.6517334	1765.06359863	1726.06970215	1720.39916992	6959.1842041	
2256.40039062	1712.94543457	1744.19287109	1729.77416992	1716.68908691	6903.6015625	
2256.45019531	1683.68432617	1793.04760742	1741.49804688	1680.68859863	6898.9185791	
2256.50024414	1725.10083008	1755.27770996	1739.57739258	1663.72009277	6883.67602539	
2256.55029297	1735.15490723	1684.35766602	1716.08166504	1709.30895996	6844.90319824	
2256.6003418	1757.16577148	1665.44165039	1714.23657227	1685.59057617	6822.43457031	
2256.65039062	1736.4375	1673.37756348	1771.70568848	1754.91723633	6936.43798828	
2256.70019531	1695.84350586	1722.18774414	1733.03112793	1747.81384277	6898.8762207	
2256.75024414	1670.07434082	1754.44995117	1737.54846191	1704.06665039	6866.1394043	
2256.80029297	1715.13256836	1762.1842041	1703.33581543	1733.21850586	6913.87109375	
2256.8503418	1716.34191895	1812.89868164	1701.12487793	1744.57373047	6974.93920898	
2256.90039062	1722.66394043	1744.2154541	1752.62792969	1732.34277344	6951.85009766	
2256.95019531	1734.3515625	1697.54016113	1757.71569824	1712.15441895	6901.76184082	
2257.00024414	1690.98815918	1697.6496582	1671.63586426	1713.39941406	6773.6730957	
2257.05029297	1649.2454834	1694.96777344	1674.64208984	1733.02355957	6751.87890625	
2257.1003418	1708.34741211	1712.05285645	1720.44445801	1719.73754883	6860.58227539	
2257.15039062	1777.07763672	1739.0970459	1739.46435547	1710.19921875	6965.83825684	
2257.20019531	1684.85827637	1692.02001953	1689.94824219	1666.57958984	6733.40612793	
2257.25024414	1699.87145996	1649.11315918	1680.3482666	1702.2911377	6731.62402344	
2257.30029297	1634.30456543	1700.52514648	1691.5904541	1684.47766113	6710.89782715	
2257.3503418	1653.65197754	1730.04711914	1734.27587891	1728.36376953	6846.33874512	
2257.40039062	1647.87084961	1700.82080078	1749.2980957	1664.0703125	6762.06005859	
2257.45019531	1730.20507812	1648.4987793	1717.72229004	1690.93371582	6787.35986328	
2257.50024414	1653.71618652	1685.15234375	1763.08410645	1744.12011719	6846.07275391	
2257.55029297	1642.92578125	1762.7244873	1630.04516602	1684.02404785	6719.71948242	
