Energy	Sweep0	
2110.00024414	2255.63427734	
2110.05029297	2156.04370117	
2110.1003418	2214.62231445	
2110.15039062	2184.39892578	
2110.20019531	2328.62744141	
2110.25024414	2329.13037109	
2110.30029297	2311.7043457	
2110.3503418	2399.51269531	
2110.40039062	2260.02905273	
2110.45019531	2322.16308594	
2110.50024414	2259.09521484	
2110.55029297	2268.78173828	
2110.6003418	2203.04711914	
2110.65039062	2247.0480957	
2110.70019531	2279.58349609	
2110.75024414	2255.11376953	
2110.80029297	2233.5402832	
2110.8503418	2204.09716797	
2110.90039062	2182.4362793	
2110.95019531	2154.25341797	
2111.00024414	2289.45507812	
2111.05029297	2295.97241211	
2111.1003418	2266.74584961	
2111.15039062	2220.30517578	
2111.20019531	2220.68359375	
2111.25024414	2279.64526367	
2111.30029297	2251.88720703	
2111.3503418	2191.63305664	
2111.40039062	2263.7277832	
2111.45019531	2171.64111328	
2111.50024414	2243.86499023	
2111.55029297	2215.95581055	
2111.6003418	2276.4309082	
2111.65039062	2242.50390625	
2111.70019531	2256.69873047	
2111.75024414	2356.08886719	
2111.80029297	2270.73583984	
2111.8503418	2249.18432617	
2111.90039062	2207.20556641	
2111.95019531	2254.87158203	
2112.00024414	2190.06616211	
2112.05029297	2257.53735352	
2112.1003418	2259.55737305	
2112.15039062	2230.99414062	
2112.20019531	2281.90112305	
2112.25024414	2329.70776367	
2112.30029297	2242.3984375	
2112.3503418	2224.63598633	
2112.40039062	2276.01977539	
2112.45019531	2260.14550781	
2112.50024414	2219.81933594	
2112.55029297	2228.76757812	
2112.6003418	2257.99755859	
2112.65039062	2308.33056641	
2112.70019531	2245.61010742	
2112.75024414	2211.55322266	
2112.80029297	2228.50195312	
2112.8503418	2239.48608398	
2112.90039062	2241.76049805	
2112.95019531	2241.26196289	
2113.00024414	2238.00854492	
2113.05029297	2254.37988281	
2113.1003418	2284.56542969	
2113.15039062	2289.85107422	
2113.20019531	2259.07202148	
2113.25024414	2287.74414062	
