Energy	Sweep0	Sweep1	Sum
1872.00024414	1564.94091797	1549.9720459	3114.91296387	
1872.05029297	1553.53869629	1521.22521973	3074.76391602	
1872.10021973	1534.69567871	1571.36621094	3106.06188965	
1872.15026855	1506.74328613	1552.47558594	3059.21887207	
1872.20031738	1606.70288086	1554.37805176	3161.08093262	
1872.25024414	1543.44592285	1561.86499023	3105.31091309	
1872.30029297	1561.76269531	1577.45837402	3139.22106934	
1872.35021973	1512.3671875	1515.359375	3027.7265625	
1872.40026855	1620.22131348	1539.87609863	3160.09741211	
1872.45031738	1591.89318848	1555.68115234	3147.57434082	
1872.50024414	1508.36462402	1579.81958008	3088.1842041	
1872.55029297	1519.07287598	1477.32275391	2996.39562988	
1872.60021973	1501.64001465	1471.61181641	2973.25183105	
1872.65026855	1492.01745605	1530.75073242	3022.76818848	
1872.70031738	1527.04382324	1510.19897461	3037.24279785	
1872.75024414	1576.15014648	1555.7277832	3131.87792969	
1872.80029297	1508.61413574	1590.30517578	3098.91931152	
1872.85021973	1486.46105957	1593.08007812	3079.5411377	
1872.90026855	1460.53771973	1520.03112793	2980.56884766	
1872.95031738	1519.74133301	1495.25756836	3014.99890137	
1873.00024414	1493.85900879	1567.8013916	3061.66040039	
1873.05029297	1536.98205566	1622.49316406	3159.47521973	
1873.10021973	1518.70031738	1578.71118164	3097.41149902	
1873.15026855	1484.3626709	1492.24035645	2976.60302734	
1873.20031738	1555.78039551	1484.46594238	3040.24633789	
1873.25024414	1523.26135254	1517.9666748	3041.22802734	
1873.30029297	1505.9296875	1612.77966309	3118.70935059	
1873.35021973	1538.0958252	1579.02990723	3117.12573242	
1873.40026855	1505.97167969	1508.93591309	3014.90759277	
1873.45031738	1553.98950195	1498.1574707	3052.14697266	
1873.50024414	1518.74719238	1515.22875977	3033.97595215	
1873.55029297	1528.03918457	1526.53625488	3054.57543945	
1873.60021973	1529.77697754	1564.68652344	3094.46350098	
1873.65026855	1472.0871582	1525.0291748	2997.11633301	
1873.70031738	1471.78198242	1508.44934082	2980.23132324	
1873.75024414	1541.98156738	1488.32531738	3030.30688477	
1873.80029297	1504.75915527	1492.1361084	2996.89526367	
1873.85021973	1529.12524414	1485.26293945	3014.38818359	
1873.90026855	1541.40612793	1491.82055664	3033.22668457	
1873.95031738	1464.82836914	1495.96069336	2960.7890625	
1874.00024414	1452.87084961	1557.86486816	3010.73571777	
1874.05029297	1508.50317383	1585.26586914	3093.76904297	
1874.10021973	1498.56469727	1536.90551758	3035.47021484	
1874.15026855	1498.94567871	1515.87341309	3014.8190918	
1874.20031738	1530.14172363	1496.90759277	3027.04931641	
1874.25024414	1514.98059082	1498.11450195	3013.09509277	
1874.30029297	1520.12341309	1407.10241699	2927.22583008	
1874.35021973	1561.24658203	1460.65234375	3021.89892578	
1874.40026855	1519.31396484	1529.16394043	3048.47790527	
1874.45031738	1541.19726562	1488.63427734	3029.83154297	
1874.50024414	1504.43591309	1458.72595215	2963.16186523	
1874.55029297	1556.98510742	1538.19384766	3095.17895508	
1874.60021973	1503.62792969	1477.3536377	2980.98156738	
1874.65026855	1451.83166504	1506.04333496	2957.875	
1874.70031738	1488.37597656	1530.46459961	3018.84057617	
1874.75024414	1510.54650879	1499.29724121	3009.84375	
1874.80029297	1486.41308594	1520.9486084	3007.36169434	
1874.85021973	1532.94702148	1455.84143066	2988.78845215	
1874.90026855	1500.88378906	1537.93981934	3038.8236084	
1874.95031738	1530.72338867	1489.36608887	3020.08947754	
1875.00024414	1469.9519043	1471.74621582	2941.69812012	
1875.05029297	1509.11669922	1410.68566895	2919.80236816	
1875.10021973	1515.20141602	1458.05175781	2973.25317383	
1875.15026855	1502.71594238	1516.97216797	3019.68811035	
1875.20031738	1522.2857666	1496.58984375	3018.87561035	
1875.25024414	1523.89123535	1474.11987305	2998.0111084	
1875.30029297	1519.99462891	1470.57116699	2990.5657959	
1875.35021973	1481.73120117	1491.34057617	2973.07177734	
1875.40026855	1470.40283203	1493.66125488	2964.06408691	
1875.45031738	1507.26464844	1508.50036621	3015.76501465	
1875.50024414	1468.5958252	1516.35656738	2984.95239258	
1875.55029297	1489.95812988	1516.38415527	3006.34228516	
1875.60021973	1459.5378418	1529.35205078	2988.88989258	
1875.65026855	1492.07141113	1527.21496582	3019.28637695	
1875.70031738	1444.3416748	1551.99938965	2996.34106445	
1875.75024414	1483.00427246	1507.29504395	2990.29931641	
1875.80029297	1515.19885254	1544.24597168	3059.44482422	
1875.85021973	1577.89672852	1563.73657227	3141.63330078	
1875.90026855	1607.609375	1519.24499512	3126.85437012	
1875.95031738	1526.99902344	1527.06945801	3054.06848145	
1876.00024414	1560.86901855	1556.1706543	3117.03967285	
1876.05029297	1629.84692383	1464.36315918	3094.21008301	
1876.10021973	1589.5213623	1554.41674805	3143.93811035	
1876.15026855	1519.60241699	1549.59460449	3069.19702148	
1876.20031738	1610.2779541	1594.90270996	3205.18066406	
1876.25024414	1589.73474121	1645.96325684	3235.69799805	
1876.30029297	1614.83129883	1644.54443359	3259.37573242	
1876.35021973	1584.39038086	1654.27856445	3238.66894531	
1876.40026855	1677.80407715	1628.47717285	3306.28125	
1876.45031738	1659.43554688	1612.52416992	3271.9597168	
1876.50024414	1673.37329102	1603.95935059	3277.3326416	
1876.55029297	1675.58764648	1600.75683594	3276.34448242	
1876.60021973	1631.64025879	1708.84924316	3340.48950195	
1876.65026855	1670.61621094	1677.88122559	3348.49743652	
1876.70031738	1668.76940918	1726.56616211	3395.33557129	
1876.75024414	1746.21191406	1782.28857422	3528.50048828	
1876.80029297	1810.1854248	1847.82226562	3658.00769043	
1876.85021973	1815.86242676	1919.57714844	3735.4395752	
1876.90026855	1871.27954102	1886.59118652	3757.87072754	
1876.95031738	1896.94763184	1924.2097168	3821.15734863	
1877.00024414	1891.58422852	1899.67980957	3791.26403809	
1877.05029297	2043.4317627	1981.8170166	4025.2487793	
1877.10021973	2022.84375	2024.8848877	4047.7286377	
1877.15026855	2030.2199707	2034.23376465	4064.45373535	
1877.20031738	2040.41711426	2122.02539062	4162.44250488	
1877.25024414	2059.5534668	2090.84008789	4150.39355469	
1877.30029297	2119.88134766	2110.19750977	4230.07885742	
1877.35021973	2150.80688477	2149.45849609	4300.26538086	
1877.40026855	2226.23388672	2202.78857422	4429.02246094	
1877.45031738	2231.97167969	2229.82592773	4461.79760742	
1877.50024414	2271.0378418	2330.08862305	4601.12646484	
1877.55029297	2271.05419922	2383.44262695	4654.49682617	
1877.60021973	2291.87231445	2404.50073242	4696.37304688	
1877.65026855	2462.13696289	2407.45556641	4869.5925293	
1877.70031738	2433.37036133	2484.49731445	4917.86767578	
1877.75024414	2499.16650391	2488.58642578	4987.75292969	
1877.80029297	2512.59130859	2479.41674805	4992.00805664	
1877.85021973	2600.92822266	2559.96484375	5160.89306641	
1877.90026855	2607.68212891	2592.85546875	5200.53759766	
1877.95031738	2599.24316406	2608.44189453	5207.68505859	
1878.00024414	2666.15454102	2684.97827148	5351.1328125	
1878.05029297	2638.12133789	2656.19262695	5294.31396484	
