Energy	Sweep0	Sweep1	Sum
1195.0	8767.71289062	8892.19726562	17659.9101562	
1195.05004883	8717.72949219	8750.08300781	17467.8125	
1195.10009766	8465.9375	8611.09179688	17077.0292969	
1195.15002441	8362.28515625	8489.62011719	16851.9052734	
1195.20007324	8209.26074219	8313.73925781	16523.0	
1195.25	7989.77783203	8006.07617188	15995.8540039	
1195.30004883	7618.70166016	7891.41650391	15510.1181641	
1195.35009766	7519.83642578	7716.50146484	15236.3378906	
1195.40002441	7441.10400391	7498.58837891	14939.6923828	
1195.45007324	7327.24511719	7276.19042969	14603.4355469	
1195.5	7175.27294922	7223.03027344	14398.3032227	
1195.55004883	7006.49658203	6923.9140625	13930.4106445	
1195.60009766	6846.82714844	6850.72558594	13697.5527344	
1195.65002441	6729.99755859	6673.02539062	13403.0229492	
1195.70007324	6463.81542969	6644.17529297	13107.9907227	
1195.75	6276.15673828	6556.09863281	12832.2553711	
1195.80004883	6221.52197266	6381.72021484	12603.2421875	
1195.85009766	6136.13330078	6123.17236328	12259.3056641	
1195.90002441	6068.63671875	5948.70947266	12017.3461914	
1195.95007324	5947.58789062	6019.05859375	11966.6464844	
1196.0	5906.97558594	5894.6328125	11801.6083984	
1196.05004883	5750.82763672	5697.54248047	11448.3701172	
1196.10009766	5510.93115234	5669.02001953	11179.9511719	
1196.15002441	5558.09375	5618.06787109	11176.1616211	
1196.20007324	5622.94482422	5535.22607422	11158.1708984	
1196.25	5621.47998047	5386.8984375	11008.378418	
1196.30004883	5400.33789062	5518.05615234	10918.394043	
1196.35009766	5438.57324219	5539.79296875	10978.3662109	
1196.40002441	5420.08544922	5406.77441406	10826.8598633	
1196.45007324	5263.71826172	5234.14892578	10497.8671875	
1196.5	5198.03515625	5208.02246094	10406.0576172	
1196.55004883	5182.24609375	5253.34082031	10435.5869141	
1196.60009766	5098.94628906	5218.29541016	10317.2416992	
1196.65002441	5001.79541016	5049.62011719	10051.4155273	
1196.70007324	4953.22460938	5169.2734375	10122.4980469	
1196.75	5080.04785156	5106.32128906	10186.3691406	
1196.80004883	4920.15429688	5154.96826172	10075.1225586	
1196.85009766	4866.88623047	4949.52001953	9816.40625	
1196.90002441	4933.17285156	5002.48535156	9935.65820312	
1196.95007324	4968.02539062	4968.81152344	9936.83691406	
1197.0	4888.33056641	4996.96582031	9885.29638672	
1197.05004883	5012.95117188	4945.11083984	9958.06201172	
1197.10009766	4876.69824219	4899.59521484	9776.29345703	
1197.15002441	4824.74902344	4894.28027344	9719.02929688	
1197.20007324	4926.83203125	4828.95849609	9755.79052734	
1197.25	4861.88818359	4887.93701172	9749.82519531	
1197.30004883	4758.53857422	4816.97851562	9575.51708984	
1197.35009766	4827.0703125	4873.99755859	9701.06787109	
1197.40002441	4719.02490234	4738.81298828	9457.83789062	
1197.45007324	4862.57861328	4939.30712891	9801.88574219	
1197.5	4824.21582031	4890.39160156	9714.60742188	
1197.55004883	4748.046875	4809.96142578	9558.00830078	
1197.60009766	4746.54248047	4759.74902344	9506.29150391	
1197.65002441	4705.31054688	4779.07128906	9484.38183594	
1197.70007324	4684.28564453	4730.26611328	9414.55175781	
1197.75	4792.22412109	4827.17871094	9619.40283203	
1197.80004883	4792.65771484	4692.85693359	9485.51464844	
1197.85009766	4762.10107422	4681.45263672	9443.55371094	
1197.90002441	4774.49169922	4742.65722656	9517.14892578	
1197.95007324	4713.6953125	4659.0546875	9372.75	
1198.0	4598.97949219	4642.16455078	9241.14404297	
1198.05004883	4617.21044922	4676.69091797	9293.90136719	
1198.10009766	4766.86230469	4689.55957031	9456.421875	
1198.15002441	4667.24511719	4624.29199219	9291.53710938	
1198.20007324	4679.22900391	4548.54980469	9227.77880859	
1198.25	4664.86083984	4651.33105469	9316.19189453	
1198.30004883	4658.20166016	4679.1640625	9337.36572266	
1198.35009766	4590.89746094	4624.87304688	9215.77050781	
1198.40002441	4625.19335938	4582.95263672	9208.14599609	
1198.45007324	4567.14550781	4569.95361328	9137.09912109	
1198.5	4533.23730469	4472.59423828	9005.83154297	
1198.55004883	4671.91455078	4542.66357422	9214.578125	
1198.60009766	4569.16503906	4681.45361328	9250.61865234	
1198.65002441	4601.72363281	4612.94140625	9214.66503906	
1198.70007324	4499.52392578	4566.79199219	9066.31591797	
1198.75	4506.68554688	4582.83398438	9089.51953125	
1198.80004883	4487.11816406	4509.46289062	8996.58105469	
1198.85009766	4524.14648438	4422.69238281	8946.83886719	
1198.90002441	4548.67675781	4518.62988281	9067.30664062	
1198.95007324	4522.81689453	4496.8046875	9019.62158203	
1199.0	4620.97363281	4475.26416016	9096.23779297	
1199.05004883	4643.2109375	4586.73388672	9229.94482422	
1199.10009766	4608.94140625	4525.29199219	9134.23339844	
1199.15002441	4525.66845703	4500.65380859	9026.32226562	
1199.20007324	4557.60595703	4400.66943359	8958.27539062	
1199.25	4456.79931641	4452.09228516	8908.89160156	
1199.30004883	4523.64648438	4398.15234375	8921.79882812	
1199.35009766	4543.83837891	4438.73925781	8982.57763672	
1199.40002441	4427.47460938	4527.14990234	8954.62451172	
1199.45007324	4463.76171875	4633.60644531	9097.36816406	
1199.5	4503.90527344	4589.62353516	9093.52880859	
1199.55004883	4392.55419922	4492.78222656	8885.33642578	
